Representative_Motif	Average_Similarity	Min_Similarity	Cluster_Size	Clustered_Motifs	Primary_Family	Primary_Subfamily	Representative_Motif_Gene_Symbol	Clustered_Motifs_Gene_Symbols	Clustered_Motifs_Gene_Symbols_Plus_Families
ZNF30.H13CORE.0.P.C	0	0	1	ZNF30.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF283-like {2.3.3.67}	ZNF30	ZNF30	ZNF30 {2.3.3.67.6}
ZNF335.H13CORE.0.PSG.A	0	0	1	ZNF335.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF335	ZNF335	ZNF335 {2.3.4.0.2}
ZNF34.H13CORE.0.P.C	0	0	1	ZNF34.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF34	ZNF34	ZNF34 {2.3.3.0.130}
ZNF347.H13CORE.0.PSGI.A	0	0	1	ZNF347.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF665-like {2.3.3.76}	ZNF347	ZNF347	ZNF347 {2.3.3.76.3}
ZNF35.H13CORE.0.P.C	0	0	1	ZNF35.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF35	ZNF35	ZNF35 {2.3.3.0.100}
ZNF35.H13CORE.1.P.C	0	0	1	ZNF35.H13CORE.1.P.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF35	ZNF35	ZNF35 {2.3.3.0.100}
ZNF358.H13CORE.0.SG.A	0	0	1	ZNF358.H13CORE.0.SG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF358	ZNF358	ZNF358 {2.3.3.0.77}
ZNF41.H13CORE.0.P.C	0	0	1	ZNF41.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF81-like {2.3.3.68}	ZNF41	ZNF41	ZNF41 {2.3.3.68.3}
ZNF41.H13CORE.1.P.C	0	0	1	ZNF41.H13CORE.1.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF81-like {2.3.3.68}	ZNF41	ZNF41	ZNF41 {2.3.3.68.3}
ZNF43.H13CORE.0.PSGI.A	0	0	1	ZNF43.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF43	ZNF43	ZNF43 {2.3.3.0.230}
ZNF44.H13CORE.0.P.C	0	0	1	ZNF44.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF442-like {2.3.3.74}	ZNF44	ZNF44	ZNF44 {2.3.3.74.3}
ZNF470.H13CORE.0.PSG.A	0	0	1	ZNF470.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF470	ZNF470	ZNF470 {2.3.3.0.208}
ZNF471.H13CORE.0.PSG.A	0	0	1	ZNF471.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF471	ZNF471	ZNF471 {2.3.3.0.191}
ZNF48.H13CORE.0.PSG.A	0	0	1	ZNF48.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF48	ZNF48	ZNF48 {2.3.4.0.48}
ZNF493.H13CORE.0.PSGI.A	0	0	1	ZNF493.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF493	ZNF493	ZNF493 {2.3.3.0.229}
ZNF497.H13CORE.0.SG.A	0	0	1	ZNF497.H13CORE.0.SG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF497	ZNF497	ZNF497 {2.3.3.0.168}
ZNF500.H13CORE.0.PSGI.A	0	0	1	ZNF500.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF500-like {2.3.3.19}	ZNF500	ZNF500	ZNF500 {2.3.3.19.1}
ZNF507.H13CORE.0.I.B	0	0	1	ZNF507.H13CORE.0.I.B	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF507	ZNF507	ZNF507 {2.3.4.0.24}
ZNF510.H13CORE.0.PSG.A	0	0	1	ZNF510.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	ZNF37A-like {2.3.4.25}	ZNF510	ZNF510	ZNF510 {2.3.4.25.6}
ZNF516.H13CORE.0.S.C	0	0	1	ZNF516.H13CORE.0.S.C	Multiple dispersed zinc fingers {2.3.4}	ZNF219-like {2.3.4.2}	ZNF516	ZNF516	ZNF516 {2.3.4.2.3}
ZNF518B.H13CORE.0.PSG.A	0	0	1	ZNF518B.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	ZNF518 {2.3.4.18}	ZNF518B	ZNF518B	ZNF518B {2.3.4.18.2}
ZNF526.H13CORE.0.S.C	0	0	1	ZNF526.H13CORE.0.S.C	Multiple dispersed zinc fingers {2.3.4}	ZNF526-like {2.3.4.22}	ZNF526	ZNF526	ZNF526 {2.3.4.22.1}
ZNF532.H13CORE.0.SG.A	0	0	1	ZNF532.H13CORE.0.SG.A	Multiple dispersed zinc fingers {2.3.4}	ZNF532-like {2.3.4.9}	ZNF532	ZNF532	ZNF532 {2.3.4.9.1}
ZNF551.H13CORE.0.PSG.A	0	0	1	ZNF551.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF551	ZNF551	ZNF551 {2.3.3.0.167}
ZNF568.H13CORE.0.SG.A	0	0	1	ZNF568.H13CORE.0.SG.A	More than 3 adjacent zinc fingers {2.3.3}	ZFP2-like {2.3.3.62}	ZNF568	ZNF568	ZNF568 {2.3.3.62.3}
ZNF569.H13CORE.0.SG.A	0	0	1	ZNF569.H13CORE.0.SG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF569	ZNF569	ZNF569 {2.3.3.0.215}
ZNF57.H13CORE.0.PSG.A	0	0	1	ZNF57.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF763-like {2.3.3.33}	ZNF57	ZNF57	ZNF57 {2.3.3.33.13}
ZNF575.H13CORE.0.PSG.A	0	0	1	ZNF575.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF575	ZNF575	ZNF575 {2.3.3.0.37}
ZNF587B.H13CORE.0.SG.A	0	0	1	ZNF587B.H13CORE.0.SG.A	Multiple dispersed zinc fingers {2.3.4}	ZNF417-like {2.3.4.1}	ZNF587B	ZNF587B	ZNF587B {2.3.4.1.8}
ZNF606.H13CORE.0.PSG.A	0	0	1	ZNF606.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF606	ZNF606	ZNF606 {2.3.4.0.67}
ZNF618.H13CORE.0.G.B	0	0	1	ZNF618.H13CORE.0.G.B	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF618	ZNF618	ZNF618 {2.3.4.0.18}
ZNF648.H13CORE.0.PSGI.A	0	0	1	ZNF648.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF648	ZNF648	ZNF648 {2.3.3.0.94}
