Gene	Gene name	Brain region	TPM	pTPM	nTPM
ENSG00000000971	CFH	medulla oblongata	6.2	9.1	6.2
ENSG00000000971	CFH	midbrain	3.7	5.1	5.7
ENSG00000000971	CFH	pons	7.4	10.7	6.9
ENSG00000000971	CFH	spinal cord	4.3	5.6	6.4
ENSG00000000971	CFH	thalamus	7.9	11.0	9.7
ENSG00000000971	CFH	white matter	8.5	12.9	8.2
ENSG00000001036	FUCA2	amygdala	15.5	21.1	24.6
ENSG00000001036	FUCA2	basal ganglia	22.9	33.7	29.4
ENSG00000001036	FUCA2	cerebellum	25.8	36.4	29.7
ENSG00000001036	FUCA2	cerebral cortex	20.6	30.5	27.1
ENSG00000001036	FUCA2	choroid plexus	31.3	40.8	57.3
ENSG00000001036	FUCA2	hippocampal formation	17.3	25.4	21.7
ENSG00000001036	FUCA2	hypothalamus	29.3	42.3	31.8
ENSG00000001036	FUCA2	medulla oblongata	27.1	41.0	33.2
ENSG00000001036	FUCA2	midbrain	25.3	36.7	26.0
ENSG00000001036	FUCA2	pons	25.3	38.3	28.9
ENSG00000001036	FUCA2	spinal cord	23.1	33.6	30.8
ENSG00000001036	FUCA2	thalamus	21.9	31.9	30.5
ENSG00000001036	FUCA2	white matter	29.7	48.9	39.4
ENSG00000001084	GCLC	amygdala	22.0	29.9	36.1
ENSG00000001084	GCLC	basal ganglia	35.8	52.6	48.1
ENSG00000001084	GCLC	cerebellum	29.3	41.2	35.1
ENSG00000001084	GCLC	cerebral cortex	27.2	40.4	37.9
ENSG00000001084	GCLC	choroid plexus	13.9	18.0	26.7
ENSG00000001084	GCLC	hippocampal formation	23.7	35.6	32.0
ENSG00000001084	GCLC	hypothalamus	33.3	48.4	36.9
ENSG00000001084	GCLC	medulla oblongata	29.4	44.9	39.6
ENSG00000001084	GCLC	midbrain	31.6	44.6	38.1
ENSG00000001084	GCLC	pons	29.6	44.8	35.9
ENSG00000001084	GCLC	spinal cord	26.8	39.1	35.2
ENSG00000001084	GCLC	thalamus	38.4	56.1	43.7
ENSG00000001084	GCLC	white matter	49.3	81.4	69.8
ENSG00000001167	NFYA	amygdala	18.1	24.4	28.4
ENSG00000001167	NFYA	basal ganglia	29.0	42.2	37.5
ENSG00000001167	NFYA	cerebellum	25.0	37.6	30.6
ENSG00000001167	NFYA	cerebral cortex	24.0	35.6	28.5
ENSG00000001167	NFYA	choroid plexus	13.0	17.2	20.9
ENSG00000001167	NFYA	hippocampal formation	19.9	30.1	26.9
ENSG00000001167	NFYA	hypothalamus	20.7	29.6	28.6
ENSG00000001167	NFYA	medulla oblongata	27.1	40.6	33.9
ENSG00000001167	NFYA	midbrain	22.9	31.4	35.1
ENSG00000001167	NFYA	pons	26.3	39.1	33.3
ENSG00000001167	NFYA	spinal cord	21.8	31.5	29.5
ENSG00000001167	NFYA	thalamus	22.7	32.7	32.0
ENSG00000001167	NFYA	white matter	42.9	72.0	48.8
ENSG00000001460	STPG1	amygdala	6.3	8.6	10.5
ENSG00000001460	STPG1	basal ganglia	7.1	10.6	8.3
ENSG00000001460	STPG1	cerebellum	7.6	10.9	8.7
ENSG00000001460	STPG1	cerebral cortex	7.2	11.1	14.5
ENSG00000001460	STPG1	choroid plexus	9.8	13.0	22.9
ENSG00000001460	STPG1	hippocampal formation	3.8	5.5	5.4
ENSG00000001460	STPG1	hypothalamus	12.1	17.6	11.3
ENSG00000001460	STPG1	medulla oblongata	7.2	9.9	10.2
ENSG00000001460	STPG1	midbrain	12.1	17.1	13.4
ENSG00000001460	STPG1	pons	9.6	13.8	10.7
ENSG00000001460	STPG1	spinal cord	5.6	8.1	9.4
ENSG00000001460	STPG1	thalamus	11.5	16.4	13.8
ENSG00000001460	STPG1	white matter	9.6	15.7	12.5
ENSG00000001461	NIPAL3	amygdala	51.1	70.7	92.1
ENSG00000001461	NIPAL3	basal ganglia	87.6	128.6	126.9
ENSG00000001461	NIPAL3	cerebellum	101.4	166.0	128.4
ENSG00000001461	NIPAL3	cerebral cortex	90.3	133.9	126.7
ENSG00000001461	NIPAL3	choroid plexus	22.1	29.1	42.5
ENSG00000001461	NIPAL3	hippocampal formation	48.3	71.4	72.9
ENSG00000001461	NIPAL3	hypothalamus	89.4	125.5	109.2
ENSG00000001461	NIPAL3	medulla oblongata	87.2	133.9	119.1
ENSG00000001461	NIPAL3	midbrain	91.6	128.4	111.3
ENSG00000001461	NIPAL3	pons	92.7	133.4	124.7
ENSG00000001461	NIPAL3	spinal cord	63.2	91.3	108.5
ENSG00000001461	NIPAL3	thalamus	91.1	130.1	124.5
ENSG00000001461	NIPAL3	white matter	117.4	197.0	165.8
ENSG00000001497	LAS1L	amygdala	8.6	11.5	15.9
ENSG00000001497	LAS1L	basal ganglia	12.0	17.4	17.4
ENSG00000001497	LAS1L	cerebellum	10.5	14.8	13.2
ENSG00000001497	LAS1L	cerebral cortex	11.8	17.5	14.0
ENSG00000001497	LAS1L	choroid plexus	5.7	7.5	10.0
ENSG00000001497	LAS1L	hippocampal formation	8.1	11.8	10.1
ENSG00000001497	LAS1L	hypothalamus	9.6	14.1	11.6
ENSG00000001497	LAS1L	medulla oblongata	12.0	18.4	15.3
ENSG00000001497	LAS1L	midbrain	10.4	14.6	16.1
ENSG00000001497	LAS1L	pons	11.3	16.3	14.9
ENSG00000001497	LAS1L	spinal cord	10.3	14.2	18.8
ENSG00000001497	LAS1L	thalamus	9.6	13.5	16.8
ENSG00000001497	LAS1L	white matter	13.1	21.1	16.9
ENSG00000001561	ENPP4	amygdala	16.6	22.8	24.6
ENSG00000001561	ENPP4	basal ganglia	32.2	47.6	42.7
ENSG00000001561	ENPP4	cerebellum	36.1	50.9	40.8
ENSG00000001561	ENPP4	cerebral cortex	20.1	31.0	30.3
ENSG00000001561	ENPP4	choroid plexus	7.6	9.9	13.3
ENSG00000001561	ENPP4	hippocampal formation	18.3	27.7	22.6
ENSG00000001561	ENPP4	hypothalamus	30.1	41.8	33.6
ENSG00000001561	ENPP4	medulla oblongata	37.1	55.9	43.1
ENSG00000001561	ENPP4	midbrain	33.9	47.3	40.2
ENSG00000001561	ENPP4	pons	31.4	46.8	37.3
ENSG00000001561	ENPP4	spinal cord	24.3	35.5	38.9
ENSG00000001561	ENPP4	thalamus	31.5	45.9	36.6
ENSG00000001561	ENPP4	white matter	50.7	77.1	61.1
ENSG00000001617	SEMA3F	amygdala	15.9	22.7	16.9
ENSG00000001617	SEMA3F	basal ganglia	6.2	8.8	10.5
ENSG00000001617	SEMA3F	cerebellum	7.9	11.1	9.1
