Gene	Gene name	Brain region	TPM	pTPM	nTPM
ENSG00000114646	CSPG5	cerebellum	21.9	30.8	27.3
ENSG00000114646	CSPG5	cerebral cortex	62.6	89.7	92.7
ENSG00000114646	CSPG5	choroid plexus	40.2	52.5	95.2
ENSG00000114646	CSPG5	hippocampal formation	44.3	65.2	78.6
ENSG00000114646	CSPG5	hypothalamus	80.7	119.2	60.5
ENSG00000114646	CSPG5	medulla oblongata	35.2	54.3	43.4
ENSG00000114646	CSPG5	midbrain	53.0	74.6	54.1
ENSG00000114646	CSPG5	pons	40.6	55.7	53.9
ENSG00000114646	CSPG5	spinal cord	24.0	35.1	34.7
ENSG00000114646	CSPG5	thalamus	38.2	53.4	58.1
ENSG00000114646	CSPG5	white matter	36.4	56.7	53.3
ENSG00000114648	KLHL18	amygdala	7.4	10.4	11.6
ENSG00000114648	KLHL18	basal ganglia	14.2	21.1	13.7
ENSG00000114648	KLHL18	cerebellum	11.1	18.3	12.4
ENSG00000114648	KLHL18	cerebral cortex	14.8	22.3	16.4
ENSG00000114648	KLHL18	choroid plexus	4.3	5.7	8.5
ENSG00000114648	KLHL18	hippocampal formation	9.4	13.9	12.4
ENSG00000114648	KLHL18	hypothalamus	16.2	24.0	14.2
ENSG00000114648	KLHL18	medulla oblongata	9.7	15.0	10.6
ENSG00000114648	KLHL18	midbrain	12.7	18.0	12.8
ENSG00000114648	KLHL18	pons	9.9	14.3	11.2
ENSG00000114648	KLHL18	spinal cord	7.9	11.4	11.9
ENSG00000114648	KLHL18	thalamus	9.8	13.8	12.0
ENSG00000114648	KLHL18	white matter	11.7	19.2	13.1
ENSG00000114650	SCAP	amygdala	48.8	67.2	74.0
ENSG00000114650	SCAP	basal ganglia	57.4	85.3	65.1
ENSG00000114650	SCAP	cerebellum	69.3	115.3	89.5
ENSG00000114650	SCAP	cerebral cortex	58.7	89.6	92.8
ENSG00000114650	SCAP	choroid plexus	47.1	62.3	86.1
ENSG00000114650	SCAP	hippocampal formation	49.0	71.8	70.2
ENSG00000114650	SCAP	hypothalamus	65.3	96.5	76.0
ENSG00000114650	SCAP	medulla oblongata	53.2	78.1	77.4
ENSG00000114650	SCAP	midbrain	52.3	76.7	71.7
ENSG00000114650	SCAP	pons	55.3	78.9	75.9
ENSG00000114650	SCAP	spinal cord	45.9	66.5	54.9
ENSG00000114650	SCAP	thalamus	53.1	77.1	79.7
ENSG00000114650	SCAP	white matter	55.2	81.6	67.2
ENSG00000114654	EFCC1	amygdala	1.6	2.2	2.7
ENSG00000114654	EFCC1	basal ganglia	1.1	1.7	1.3
ENSG00000114654	EFCC1	cerebellum	3.7	6.2	4.5
ENSG00000114654	EFCC1	cerebral cortex	1.7	2.4	3.1
ENSG00000114654	EFCC1	choroid plexus	0.4	0.6	0.8
ENSG00000114654	EFCC1	hippocampal formation	3.6	5.3	5.6
ENSG00000114654	EFCC1	hypothalamus	3.9	5.8	3.9
ENSG00000114654	EFCC1	medulla oblongata	2.1	3.1	3.3
ENSG00000114654	EFCC1	midbrain	2.6	3.9	3.1
ENSG00000114654	EFCC1	pons	3.9	5.5	4.8
ENSG00000114654	EFCC1	spinal cord	1.5	2.2	2.1
ENSG00000114654	EFCC1	thalamus	1.8	2.6	3.0
ENSG00000114654	EFCC1	white matter	0.8	1.4	1.2
ENSG00000114656	CFAP92	amygdala	11.0	15.3	17.0
ENSG00000114656	CFAP92	basal ganglia	12.5	18.4	15.2
ENSG00000114656	CFAP92	cerebellum	15.3	25.2	18.7
ENSG00000114656	CFAP92	cerebral cortex	12.2	18.2	15.1
ENSG00000114656	CFAP92	choroid plexus	11.2	14.8	20.0
ENSG00000114656	CFAP92	hippocampal formation	13.7	20.3	18.2
ENSG00000114656	CFAP92	hypothalamus	17.9	26.4	17.8
ENSG00000114656	CFAP92	medulla oblongata	14.3	20.5	18.1
ENSG00000114656	CFAP92	midbrain	17.1	25.1	21.0
ENSG00000114656	CFAP92	pons	13.1	18.7	17.3
ENSG00000114656	CFAP92	spinal cord	12.0	17.5	13.9
ENSG00000114656	CFAP92	thalamus	11.6	16.3	14.6
ENSG00000114656	CFAP92	white matter	10.2	16.4	13.1
ENSG00000114670	NEK11	amygdala	8.3	11.2	12.8
ENSG00000114670	NEK11	basal ganglia	11.6	17.2	12.7
ENSG00000114670	NEK11	cerebellum	9.0	12.8	9.8
ENSG00000114670	NEK11	cerebral cortex	7.9	11.9	9.2
ENSG00000114670	NEK11	choroid plexus	30.2	39.7	50.5
ENSG00000114670	NEK11	hippocampal formation	8.6	12.5	10.5
ENSG00000114670	NEK11	hypothalamus	14.4	21.3	14.5
ENSG00000114670	NEK11	medulla oblongata	21.8	30.9	26.2
ENSG00000114670	NEK11	midbrain	22.5	33.2	28.4
ENSG00000114670	NEK11	pons	10.7	15.4	13.2
ENSG00000114670	NEK11	spinal cord	19.4	28.2	22.5
ENSG00000114670	NEK11	thalamus	11.9	16.7	15.0
ENSG00000114670	NEK11	white matter	20.0	32.9	21.5
ENSG00000114686	MRPL3	amygdala	16.2	22.3	26.2
ENSG00000114686	MRPL3	basal ganglia	29.8	44.2	29.2
ENSG00000114686	MRPL3	cerebellum	23.6	35.1	27.2
ENSG00000114686	MRPL3	cerebral cortex	25.4	38.1	29.7
ENSG00000114686	MRPL3	choroid plexus	20.4	26.7	41.3
ENSG00000114686	MRPL3	hippocampal formation	25.3	37.3	29.6
ENSG00000114686	MRPL3	hypothalamus	36.0	53.2	38.2
ENSG00000114686	MRPL3	medulla oblongata	25.3	38.2	32.0
ENSG00000114686	MRPL3	midbrain	30.5	44.1	29.3
ENSG00000114686	MRPL3	pons	29.5	42.8	29.0
ENSG00000114686	MRPL3	spinal cord	19.3	28.1	33.1
ENSG00000114686	MRPL3	thalamus	26.7	37.8	32.8
ENSG00000114686	MRPL3	white matter	28.3	46.6	35.8
ENSG00000114698	PLSCR4	amygdala	52.2	70.5	60.4
ENSG00000114698	PLSCR4	basal ganglia	52.7	78.2	55.5
ENSG00000114698	PLSCR4	cerebellum	54.4	76.8	61.6
ENSG00000114698	PLSCR4	cerebral cortex	47.7	72.5	51.0
ENSG00000114698	PLSCR4	choroid plexus	16.5	21.8	21.0
ENSG00000114698	PLSCR4	hippocampal formation	46.3	66.3	56.7
ENSG00000114698	PLSCR4	hypothalamus	62.7	90.9	79.1
ENSG00000114698	PLSCR4	medulla oblongata	61.9	88.2	80.4
ENSG00000114698	PLSCR4	midbrain	76.3	110.6	90.9
ENSG00000114698	PLSCR4	pons	51.3	75.0	57.2
ENSG00000114698	PLSCR4	spinal cord	65.8	95.6	75.4
ENSG00000114698	PLSCR4	thalamus	61.0	85.2	86.5
ENSG00000114698	PLSCR4	white matter	61.3	101.0	63.1
ENSG00000114735	HEMK1	amygdala	5.8	7.8	8.4
ENSG00000114735	HEMK1	basal ganglia	7.4	10.9	9.7
ENSG00000114735	HEMK1	cerebellum	7.9	11.2	9.4
ENSG00000114735	HEMK1	cerebral cortex	8.1	12.5	9.4
ENSG00000114735	HEMK1	choroid plexus	12.7	16.8	20.2
ENSG00000114735	HEMK1	hippocampal formation	6.0	8.9	7.6
ENSG00000114735	HEMK1	hypothalamus	8.2	11.8	9.3
ENSG00000114735	HEMK1	medulla oblongata	9.6	14.8	10.5
ENSG00000114735	HEMK1	midbrain	8.8	13.1	10.6
ENSG00000114735	HEMK1	pons	8.3	12.2	9.3
ENSG00000114735	HEMK1	spinal cord	8.1	11.7	10.0
ENSG00000114735	HEMK1	thalamus	7.3	10.4	9.2
ENSG00000114735	HEMK1	white matter	11.1	18.3	11.6
ENSG00000114737	CISH	amygdala	2.0	2.8	0.9
ENSG00000114737	CISH	basal ganglia	0.9	1.4	1.0
ENSG00000114737	CISH	cerebellum	2.0	2.9	1.1
ENSG00000114737	CISH	cerebral cortex	1.6	2.5	1.0
ENSG00000114737	CISH	choroid plexus	3.0	4.0	2.8
ENSG00000114737	CISH	hippocampal formation	1.6	2.5	0.7
ENSG00000114737	CISH	hypothalamus	1.6	2.3	2.3
ENSG00000114737	CISH	medulla oblongata	11.4	17.4	4.0
ENSG00000114737	CISH	midbrain	10.7	15.5	2.4
ENSG00000114737	CISH	pons	7.0	10.4	2.5
ENSG00000114737	CISH	spinal cord	1.5	2.0	2.2
ENSG00000114737	CISH	thalamus	4.1	6.2	1.7
ENSG00000114737	CISH	white matter	5.9	9.7	1.9
ENSG00000114738	MAPKAPK3	amygdala	13.7	17.9	20.8
ENSG00000114738	MAPKAPK3	basal ganglia	19.9	28.2	23.7
ENSG00000114738	MAPKAPK3	cerebellum	20.9	29.4	23.4
ENSG00000114738	MAPKAPK3	cerebral cortex	18.2	26.7	21.2
ENSG00000114738	MAPKAPK3	choroid plexus	17.7	23.3	27.7
ENSG00000114738	MAPKAPK3	hippocampal formation	15.5	22.1	20.5
ENSG00000114738	MAPKAPK3	hypothalamus	18.8	27.3	24.7
ENSG00000114738	MAPKAPK3	medulla oblongata	24.9	37.3	33.0
ENSG00000114738	MAPKAPK3	midbrain	20.7	29.8	26.3
ENSG00000114738	MAPKAPK3	pons	22.8	34.4	27.3
ENSG00000114738	MAPKAPK3	spinal cord	21.8	31.4	28.8
ENSG00000114738	MAPKAPK3	thalamus	19.9	27.5	28.2
ENSG00000114738	MAPKAPK3	white matter	25.3	37.1	28.5
ENSG00000114739	ACVR2B	amygdala	5.8	8.0	9.9
ENSG00000114739	ACVR2B	basal ganglia	8.7	12.9	9.6
ENSG00000114739	ACVR2B	cerebellum	11.9	19.4	14.0
ENSG00000114739	ACVR2B	cerebral cortex	7.4	11.3	9.0
ENSG00000114739	ACVR2B	choroid plexus	2.9	3.9	5.4
ENSG00000114739	ACVR2B	hippocampal formation	5.4	8.0	7.7
ENSG00000114739	ACVR2B	hypothalamus	9.5	14.0	9.4
ENSG00000114739	ACVR2B	medulla oblongata	6.5	9.5	8.8
ENSG00000114739	ACVR2B	midbrain	7.3	10.4	10.1
ENSG00000114739	ACVR2B	pons	6.7	9.8	8.8
ENSG00000114739	ACVR2B	spinal cord	6.1	8.8	8.1
ENSG00000114739	ACVR2B	thalamus	7.1	10.0	9.3
ENSG00000114739	ACVR2B	white matter	10.1	15.7	10.4
ENSG00000114742	WDR48	amygdala	15.5	21.5	25.5
ENSG00000114742	WDR48	basal ganglia	28.1	41.8	28.0
ENSG00000114742	WDR48	cerebellum	21.4	34.9	24.4
ENSG00000114742	WDR48	cerebral cortex	25.2	37.4	27.7
ENSG00000114742	WDR48	choroid plexus	9.7	12.8	18.2
ENSG00000114742	WDR48	hippocampal formation	19.3	28.6	23.9
ENSG00000114742	WDR48	hypothalamus	32.0	47.3	30.7
ENSG00000114742	WDR48	medulla oblongata	23.2	35.1	26.6
ENSG00000114742	WDR48	midbrain	26.5	38.3	28.2
ENSG00000114742	WDR48	pons	25.5	37.0	26.4
ENSG00000114742	WDR48	spinal cord	19.8	28.8	27.6
ENSG00000114742	WDR48	thalamus	18.1	25.5	24.3
ENSG00000114742	WDR48	white matter	26.2	42.8	31.9
ENSG00000114744	COMMD2	amygdala	5.1	6.9	9.1
ENSG00000114744	COMMD2	basal ganglia	7.9	11.8	10.8
ENSG00000114744	COMMD2	cerebellum	9.1	14.9	10.9
ENSG00000114744	COMMD2	cerebral cortex	8.1	12.5	11.0
ENSG00000114744	COMMD2	choroid plexus	4.8	6.2	9.0
ENSG00000114744	COMMD2	hippocampal formation	6.0	8.7	8.2
ENSG00000114744	COMMD2	hypothalamus	8.3	12.0	9.3
ENSG00000114744	COMMD2	medulla oblongata	8.4	12.2	10.5
ENSG00000114744	COMMD2	midbrain	8.8	12.6	10.5
ENSG00000114744	COMMD2	pons	7.9	11.5	10.4
ENSG00000114744	COMMD2	spinal cord	8.4	12.3	10.6
ENSG00000114744	COMMD2	thalamus	7.9	11.5	10.2
ENSG00000114744	COMMD2	white matter	11.4	17.7	12.5
ENSG00000114745	GORASP1	amygdala	9.4	12.6	16.2
ENSG00000114745	GORASP1	basal ganglia	14.6	21.7	17.2
ENSG00000114745	GORASP1	cerebellum	17.7	24.8	21.2
ENSG00000114745	GORASP1	cerebral cortex	12.3	18.1	16.4
ENSG00000114745	GORASP1	choroid plexus	5.3	6.9	10.1
ENSG00000114745	GORASP1	hippocampal formation	9.7	13.6	14.4
ENSG00000114745	GORASP1	hypothalamus	16.6	24.1	19.3
ENSG00000114745	GORASP1	medulla oblongata	16.3	24.7	22.4
ENSG00000114745	GORASP1	midbrain	15.8	22.9	18.4
ENSG00000114745	GORASP1	pons	13.1	19.0	16.4
ENSG00000114745	GORASP1	spinal cord	18.1	26.0	26.1
ENSG00000114745	GORASP1	thalamus	16.2	22.8	22.6
ENSG00000114745	GORASP1	white matter	18.5	27.8	32.9
ENSG00000114757	PEX5L	amygdala	91.4	128.5	157.6
ENSG00000114757	PEX5L	basal ganglia	206.3	304.2	275.0
ENSG00000114757	PEX5L	cerebellum	186.0	262.8	228.8
ENSG00000114757	PEX5L	cerebral cortex	138.2	211.9	211.1
ENSG00000114757	PEX5L	choroid plexus	8.1	10.6	15.0
ENSG00000114757	PEX5L	hippocampal formation	124.3	187.3	173.7
ENSG00000114757	PEX5L	hypothalamus	141.8	197.5	158.3
ENSG00000114757	PEX5L	medulla oblongata	181.8	273.0	254.7
ENSG00000114757	PEX5L	midbrain	194.6	270.4	235.9
ENSG00000114757	PEX5L	pons	178.6	253.5	253.3
ENSG00000114757	PEX5L	spinal cord	129.2	187.2	188.3
ENSG00000114757	PEX5L	thalamus	155.9	221.4	218.8
ENSG00000114757	PEX5L	white matter	321.6	537.7	471.7
ENSG00000114767	RRP9	amygdala	7.6	10.7	11.8
ENSG00000114767	RRP9	basal ganglia	11.4	16.8	13.5
ENSG00000114767	RRP9	cerebellum	10.0	16.0	12.1
ENSG00000114767	RRP9	cerebral cortex	10.4	16.1	13.0
ENSG00000114767	RRP9	choroid plexus	4.5	5.9	8.5
ENSG00000114767	RRP9	hippocampal formation	10.1	15.0	13.0
ENSG00000114767	RRP9	hypothalamus	11.6	17.2	11.9
ENSG00000114767	RRP9	medulla oblongata	11.1	17.1	12.4
ENSG00000114767	RRP9	midbrain	9.7	14.0	12.3
ENSG00000114767	RRP9	pons	9.4	13.7	11.2
ENSG00000114767	RRP9	spinal cord	7.8	11.4	10.9
ENSG00000114767	RRP9	thalamus	9.6	13.6	13.3
ENSG00000114767	RRP9	white matter	10.5	16.8	12.8
ENSG00000114770	ABCC5	amygdala	37.3	51.8	54.3
ENSG00000114770	ABCC5	basal ganglia	57.4	85.6	62.6
ENSG00000114770	ABCC5	cerebellum	64.4	105.7	71.4
ENSG00000114770	ABCC5	cerebral cortex	61.3	91.4	71.9
ENSG00000114770	ABCC5	choroid plexus	158.0	207.4	323.0
ENSG00000114770	ABCC5	hippocampal formation	46.6	68.9	66.0
ENSG00000114770	ABCC5	hypothalamus	70.4	103.9	67.5
ENSG00000114770	ABCC5	medulla oblongata	46.9	68.0	57.8
ENSG00000114770	ABCC5	midbrain	45.5	64.3	54.5
ENSG00000114770	ABCC5	pons	55.9	80.3	64.4
ENSG00000114770	ABCC5	spinal cord	32.1	46.9	42.4
ENSG00000114770	ABCC5	thalamus	46.8	68.3	59.8
ENSG00000114770	ABCC5	white matter	58.0	90.3	59.5
ENSG00000114771	AADAC	amygdala	0.0	0.0	0.0
ENSG00000114771	AADAC	basal ganglia	0.0	0.1	0.0
ENSG00000114771	AADAC	cerebellum	0.0	0.0	0.0
ENSG00000114771	AADAC	cerebral cortex	0.0	0.1	0.1
ENSG00000114771	AADAC	choroid plexus	0.2	0.2	0.4
ENSG00000114771	AADAC	hippocampal formation	0.1	0.2	0.1
ENSG00000114771	AADAC	hypothalamus	0.0	0.1	0.0
ENSG00000114771	AADAC	medulla oblongata	0.0	0.1	0.1
ENSG00000114771	AADAC	midbrain	0.1	0.2	0.2
ENSG00000114771	AADAC	pons	0.1	0.2	0.1
ENSG00000114771	AADAC	spinal cord	0.0	0.0	0.0
ENSG00000114771	AADAC	thalamus	0.1	0.2	0.1
ENSG00000114771	AADAC	white matter	0.1	0.1	0.1
ENSG00000114779	ABHD14B	amygdala	10.6	14.1	15.0
ENSG00000114779	ABHD14B	basal ganglia	12.5	18.2	16.7
ENSG00000114779	ABHD14B	cerebellum	12.4	20.2	14.6
ENSG00000114779	ABHD14B	cerebral cortex	14.2	20.9	15.0
ENSG00000114779	ABHD14B	choroid plexus	22.1	29.1	32.8
ENSG00000114779	ABHD14B	hippocampal formation	10.3	14.9	12.0
ENSG00000114779	ABHD14B	hypothalamus	12.2	17.5	15.0
ENSG00000114779	ABHD14B	medulla oblongata	15.1	23.3	17.6
ENSG00000114779	ABHD14B	midbrain	12.6	18.5	16.6
ENSG00000114779	ABHD14B	pons	12.5	18.2	15.7
ENSG00000114779	ABHD14B	spinal cord	12.5	18.0	17.4
ENSG00000114779	ABHD14B	thalamus	14.2	20.8	18.6
ENSG00000114779	ABHD14B	white matter	15.0	24.1	17.1
ENSG00000114784	EIF1B	amygdala	50.9	71.7	74.3
ENSG00000114784	EIF1B	basal ganglia	87.8	130.3	90.6
ENSG00000114784	EIF1B	cerebellum	90.6	142.9	106.0
ENSG00000114784	EIF1B	cerebral cortex	94.8	141.8	122.2
ENSG00000114784	EIF1B	choroid plexus	30.6	40.0	62.8
ENSG00000114784	EIF1B	hippocampal formation	71.3	106.1	83.9
ENSG00000114784	EIF1B	hypothalamus	120.7	177.4	161.5
ENSG00000114784	EIF1B	medulla oblongata	112.0	163.3	123.5
ENSG00000114784	EIF1B	midbrain	140.2	202.6	109.6
ENSG00000114784	EIF1B	pons	121.2	175.8	133.0
ENSG00000114784	EIF1B	spinal cord	63.0	91.5	98.0
ENSG00000114784	EIF1B	thalamus	70.6	100.2	90.0
ENSG00000114784	EIF1B	white matter	136.2	223.7	107.2
ENSG00000114786	ABHD14A-ACY1	amygdala	0.3	0.4	0.6
ENSG00000114786	ABHD14A-ACY1	basal ganglia	0.3	0.5	0.4
ENSG00000114786	ABHD14A-ACY1	cerebellum	1.2	2.0	1.4
ENSG00000114786	ABHD14A-ACY1	cerebral cortex	0.4	0.6	0.8
ENSG00000114786	ABHD14A-ACY1	choroid plexus	0.3	0.5	0.7
ENSG00000114786	ABHD14A-ACY1	hippocampal formation	0.3	0.4	0.4
ENSG00000114786	ABHD14A-ACY1	hypothalamus	0.7	1.0	0.7
ENSG00000114786	ABHD14A-ACY1	medulla oblongata	0.6	0.9	0.7
ENSG00000114786	ABHD14A-ACY1	midbrain	0.5	0.8	0.5
ENSG00000114786	ABHD14A-ACY1	pons	0.5	0.8	0.6
ENSG00000114786	ABHD14A-ACY1	spinal cord	0.4	0.6	0.6
ENSG00000114786	ABHD14A-ACY1	thalamus	0.4	0.6	0.5
ENSG00000114786	ABHD14A-ACY1	white matter	0.5	0.8	0.6
ENSG00000114790	ARHGEF26	amygdala	13.5	18.1	17.6
ENSG00000114790	ARHGEF26	basal ganglia	14.6	21.4	17.1
ENSG00000114790	ARHGEF26	cerebellum	12.6	17.7	13.9
ENSG00000114790	ARHGEF26	cerebral cortex	14.3	21.2	16.0
ENSG00000114790	ARHGEF26	choroid plexus	14.2	18.6	21.5
ENSG00000114790	ARHGEF26	hippocampal formation	12.7	18.9	14.9
ENSG00000114790	ARHGEF26	hypothalamus	14.2	20.6	18.0
ENSG00000114790	ARHGEF26	medulla oblongata	15.9	24.0	18.2
ENSG00000114790	ARHGEF26	midbrain	18.7	27.2	21.1
ENSG00000114790	ARHGEF26	pons	13.6	19.9	14.7
ENSG00000114790	ARHGEF26	spinal cord	14.3	20.8	17.0
ENSG00000114790	ARHGEF26	thalamus	13.9	19.3	18.7
ENSG00000114790	ARHGEF26	white matter	13.4	22.1	15.1
ENSG00000114796	KLHL24	amygdala	77.2	104.7	139.0
ENSG00000114796	KLHL24	basal ganglia	146.2	216.9	171.2
ENSG00000114796	KLHL24	cerebellum	249.6	412.6	276.8
ENSG00000114796	KLHL24	cerebral cortex	136.3	202.1	198.7
ENSG00000114796	KLHL24	choroid plexus	50.9	66.8	105.2
ENSG00000114796	KLHL24	hippocampal formation	94.6	141.9	125.3
ENSG00000114796	KLHL24	hypothalamus	122.6	177.4	147.6
ENSG00000114796	KLHL24	medulla oblongata	132.2	190.7	166.8
ENSG00000114796	KLHL24	midbrain	156.2	218.3	164.9
ENSG00000114796	KLHL24	pons	166.4	239.8	171.8
ENSG00000114796	KLHL24	spinal cord	88.6	128.4	133.8
ENSG00000114796	KLHL24	thalamus	121.2	171.5	172.9
ENSG00000114796	KLHL24	white matter	201.7	314.2	186.7
ENSG00000114805	PLCH1	amygdala	4.2	5.8	9.0
ENSG00000114805	PLCH1	basal ganglia	15.9	23.5	19.2
ENSG00000114805	PLCH1	cerebellum	14.4	23.6	16.9
ENSG00000114805	PLCH1	cerebral cortex	13.7	20.9	20.0
ENSG00000114805	PLCH1	choroid plexus	12.0	15.8	27.9
ENSG00000114805	PLCH1	hippocampal formation	4.6	6.7	6.7
ENSG00000114805	PLCH1	hypothalamus	11.4	16.4	9.6
ENSG00000114805	PLCH1	medulla oblongata	8.6	12.4	10.7
ENSG00000114805	PLCH1	midbrain	19.3	27.8	17.1
ENSG00000114805	PLCH1	pons	8.8	12.3	10.3
ENSG00000114805	PLCH1	spinal cord	6.7	9.8	9.2
ENSG00000114805	PLCH1	thalamus	6.3	8.8	10.0
ENSG00000114805	PLCH1	white matter	8.8	13.7	11.9
ENSG00000114812	VIPR1	amygdala	7.0	9.8	9.8
ENSG00000114812	VIPR1	basal ganglia	16.7	25.0	16.5
ENSG00000114812	VIPR1	cerebellum	19.4	32.3	20.3
ENSG00000114812	VIPR1	cerebral cortex	24.4	36.8	24.5
ENSG00000114812	VIPR1	choroid plexus	1.5	1.9	3.0
ENSG00000114812	VIPR1	hippocampal formation	7.5	11.1	9.0
ENSG00000114812	VIPR1	hypothalamus	3.0	4.4	3.8
ENSG00000114812	VIPR1	medulla oblongata	2.3	3.2	2.5
ENSG00000114812	VIPR1	midbrain	2.2	3.1	2.6
ENSG00000114812	VIPR1	pons	5.6	8.3	5.5
ENSG00000114812	VIPR1	spinal cord	0.9	1.4	1.5
ENSG00000114812	VIPR1	thalamus	2.3	3.3	2.1
ENSG00000114812	VIPR1	white matter	12.7	20.9	17.2
ENSG00000114841	DNAH1	amygdala	3.4	4.7	5.1
ENSG00000114841	DNAH1	basal ganglia	4.6	6.8	6.0
ENSG00000114841	DNAH1	cerebellum	3.9	6.5	5.1
ENSG00000114841	DNAH1	cerebral cortex	6.0	9.5	8.9
ENSG00000114841	DNAH1	choroid plexus	6.6	8.7	10.6
ENSG00000114841	DNAH1	hippocampal formation	4.2	6.2	5.1
ENSG00000114841	DNAH1	hypothalamus	5.0	7.4	6.9
ENSG00000114841	DNAH1	medulla oblongata	6.7	9.5	8.6
ENSG00000114841	DNAH1	midbrain	8.2	12.0	9.6
ENSG00000114841	DNAH1	pons	4.7	6.7	7.1
ENSG00000114841	DNAH1	spinal cord	6.7	9.8	6.4
ENSG00000114841	DNAH1	thalamus	4.7	6.8	5.8
ENSG00000114841	DNAH1	white matter	7.9	10.7	9.6
ENSG00000114850	SSR3	amygdala	37.1	50.8	54.7
ENSG00000114850	SSR3	basal ganglia	49.7	73.5	59.4
ENSG00000114850	SSR3	cerebellum	54.2	76.2	62.8
ENSG00000114850	SSR3	cerebral cortex	44.6	66.6	53.1
ENSG00000114850	SSR3	choroid plexus	29.4	38.3	52.6
ENSG00000114850	SSR3	hippocampal formation	43.3	64.3	51.2
ENSG00000114850	SSR3	hypothalamus	64.7	93.5	72.3
ENSG00000114850	SSR3	medulla oblongata	67.4	102.9	76.2
ENSG00000114850	SSR3	midbrain	72.4	104.7	63.0
ENSG00000114850	SSR3	pons	63.3	92.0	63.5
ENSG00000114850	SSR3	spinal cord	46.3	67.3	73.0
ENSG00000114850	SSR3	thalamus	66.9	97.5	79.2
ENSG00000114850	SSR3	white matter	58.1	95.4	86.1
ENSG00000114853	ZBTB47	amygdala	58.6	76.5	107.8
ENSG00000114853	ZBTB47	basal ganglia	69.9	98.5	96.1
ENSG00000114853	ZBTB47	cerebellum	46.6	65.8	61.9
ENSG00000114853	ZBTB47	cerebral cortex	73.9	108.8	85.2
ENSG00000114853	ZBTB47	choroid plexus	10.7	14.1	20.1
ENSG00000114853	ZBTB47	hippocampal formation	50.8	72.7	76.4
ENSG00000114853	ZBTB47	hypothalamus	44.6	62.4	64.1
ENSG00000114853	ZBTB47	medulla oblongata	60.0	82.3	101.0
ENSG00000114853	ZBTB47	midbrain	52.3	70.5	85.2
ENSG00000114853	ZBTB47	pons	46.9	70.5	73.7
ENSG00000114853	ZBTB47	spinal cord	52.9	76.0	78.6
ENSG00000114853	ZBTB47	thalamus	63.9	88.3	99.1
ENSG00000114853	ZBTB47	white matter	82.4	132.7	120.2
ENSG00000114854	TNNC1	amygdala	0.3	0.5	0.6
ENSG00000114854	TNNC1	basal ganglia	0.6	0.8	0.9
ENSG00000114854	TNNC1	cerebellum	4.0	6.6	5.0
ENSG00000114854	TNNC1	cerebral cortex	0.6	0.8	0.7
ENSG00000114854	TNNC1	choroid plexus	8.1	10.4	15.5
ENSG00000114854	TNNC1	hippocampal formation	1.1	1.5	1.8
ENSG00000114854	TNNC1	hypothalamus	0.6	0.8	0.6
ENSG00000114854	TNNC1	medulla oblongata	0.7	1.0	0.7
ENSG00000114854	TNNC1	midbrain	1.0	1.4	1.1
ENSG00000114854	TNNC1	pons	1.2	1.8	1.3
ENSG00000114854	TNNC1	spinal cord	0.5	0.7	0.8
ENSG00000114854	TNNC1	thalamus	0.5	0.8	1.0
ENSG00000114854	TNNC1	white matter	0.5	0.9	0.7
ENSG00000114857	NKTR	amygdala	26.9	37.1	36.3
ENSG00000114857	NKTR	basal ganglia	33.9	49.6	41.0
ENSG00000114857	NKTR	cerebellum	40.7	68.4	48.7
ENSG00000114857	NKTR	cerebral cortex	32.5	48.1	39.8
ENSG00000114857	NKTR	choroid plexus	26.5	34.8	39.8
ENSG00000114857	NKTR	hippocampal formation	26.4	39.7	34.0
ENSG00000114857	NKTR	hypothalamus	32.2	45.2	44.6
ENSG00000114857	NKTR	medulla oblongata	34.0	51.0	46.1
ENSG00000114857	NKTR	midbrain	31.2	45.1	37.0
ENSG00000114857	NKTR	pons	33.7	51.1	38.5
ENSG00000114857	NKTR	spinal cord	28.7	41.9	32.5
ENSG00000114857	NKTR	thalamus	32.2	47.0	40.9
ENSG00000114857	NKTR	white matter	52.2	87.9	58.3
ENSG00000114859	CLCN2	amygdala	2.9	3.9	4.8
ENSG00000114859	CLCN2	basal ganglia	4.3	6.4	6.7
ENSG00000114859	CLCN2	cerebellum	5.3	7.4	6.8
ENSG00000114859	CLCN2	cerebral cortex	3.9	5.8	5.1
ENSG00000114859	CLCN2	choroid plexus	1.7	2.2	3.5
ENSG00000114859	CLCN2	hippocampal formation	3.0	4.5	4.4
ENSG00000114859	CLCN2	hypothalamus	5.3	7.8	5.2
ENSG00000114859	CLCN2	medulla oblongata	6.2	9.6	7.4
ENSG00000114859	CLCN2	midbrain	4.7	6.8	6.5
ENSG00000114859	CLCN2	pons	3.9	5.7	5.8
ENSG00000114859	CLCN2	spinal cord	4.9	7.2	6.4
ENSG00000114859	CLCN2	thalamus	5.4	7.8	7.0
ENSG00000114859	CLCN2	white matter	6.6	10.1	9.2
ENSG00000114861	FOXP1	amygdala	25.8	35.0	42.7
ENSG00000114861	FOXP1	basal ganglia	85.4	122.1	109.9
ENSG00000114861	FOXP1	cerebellum	23.2	34.7	28.8
ENSG00000114861	FOXP1	cerebral cortex	51.3	76.3	71.5
ENSG00000114861	FOXP1	choroid plexus	29.0	38.1	56.7
